stopping sim at  229 + 12 / 241
::  Return for Rs 100000 / 12 months starting from 2011_07 is -7.09
::  Return for Rs 100000 / 12 months starting from 2014_09 is -7.05
::  Return for Rs 100000 / 12 months starting from 2014_06 is -6.94
::  Return for Rs 100000 / 12 months starting from 2011_02 is -6.73
::  Return for Rs 100000 / 12 months starting from 2007_07 is -6.54
::  Return for Rs 100000 / 12 months starting from 2014_10 is -6.53
::  Return for Rs 100000 / 12 months starting from 2010_06 is -6.23
::  Return for Rs 100000 / 12 months starting from 2014_01 is -6.08
::  Return for Rs 100000 / 12 months starting from 2001_04 is -5.85
::  Return for Rs 100000 / 12 months starting from 2011_03 is -5.09
::  Return for Rs 100000 / 12 months starting from 2010_11 is -4.94
::  Return for Rs 100000 / 12 months starting from 2011_08 is -4.9
::  Return for Rs 100000 / 12 months starting from 2018_08 is -4.88
::  Return for Rs 100000 / 12 months starting from 2001_11 is -4.59
::  Return for Rs 100000 / 12 months starting from 2003_07 is -4.49
::  Return for Rs 100000 / 12 months starting from 2001_02 is -4.46
::  Return for Rs 100000 / 12 months starting from 2013_03 is -4.12
::  Return for Rs 100000 / 12 months starting from 2003_09 is -4.04
::  Return for Rs 100000 / 12 months starting from 2009_10 is -3.83
::  Return for Rs 100000 / 12 months starting from 2009_12 is -3.77
::  Return for Rs 100000 / 12 months starting from 2010_05 is -3.45
::  Return for Rs 100000 / 12 months starting from 2010_03 is -3.12
::  Return for Rs 100000 / 12 months starting from 2009_08 is -2.7
::  Return for Rs 100000 / 12 months starting from 2013_02 is -2.64
::  Return for Rs 100000 / 12 months starting from 2003_06 is -2.14
::  Return for Rs 100000 / 12 months starting from 2014_02 is -2.09
::  Return for Rs 100000 / 12 months starting from 2015_12 is -1.98
::  Return for Rs 100000 / 12 months starting from 2002_02 is -1.08
::  Return for Rs 100000 / 12 months starting from 2002_05 is -0.66
::  Return for Rs 100000 / 12 months starting from 2009_06 is -0.54
::  Return for Rs 100000 / 12 months starting from 2019_03 is -0.42
::  Return for Rs 100000 / 12 months starting from 2012_04 is -0.25
::  Return for Rs 100000 / 12 months starting from 2001_03 is -0.05
::  Return for Rs 100000 / 12 months starting from 2009_05 is 0.1
::  Return for Rs 100000 / 12 months starting from 2000_05 is 0.13
::  Return for Rs 100000 / 12 months starting from 2015_07 is 0.26
::  Return for Rs 100000 / 12 months starting from 2015_06 is 0.37
::  Return for Rs 100000 / 12 months starting from 2012_05 is 0.66
::  Return for Rs 100000 / 12 months starting from 2012_10 is 0.67
::  Return for Rs 100000 / 12 months starting from 2018_09 is 0.8
::  Return for Rs 100000 / 12 months starting from 2011_09 is 0.89
::  Return for Rs 100000 / 12 months starting from 2012_12 is 1.11
::  Return for Rs 100000 / 12 months starting from 2002_04 is 1.28
::  Return for Rs 100000 / 12 months starting from 2003_12 is 1.77
::  Return for Rs 100000 / 12 months starting from 2003_08 is 1.83
::  Return for Rs 100000 / 12 months starting from 2016_02 is 2.41
::  Return for Rs 100000 / 12 months starting from 2010_01 is 2.57
::  Return for Rs 100000 / 12 months starting from 2013_10 is 2.7
::  Return for Rs 100000 / 12 months starting from 2009_03 is 2.8
::  Return for Rs 100000 / 12 months starting from 2010_04 is 2.84
::  Return for Rs 100000 / 12 months starting from 2003_10 is 3.18
::  Return for Rs 100000 / 12 months starting from 2004_01 is 3.43
::  Return for Rs 100000 / 12 months starting from 2004_02 is 3.66
::  Return for Rs 100000 / 12 months starting from 2012_09 is 3.77
::  Return for Rs 100000 / 12 months starting from 2000_07 is 3.87
::  Return for Rs 100000 / 12 months starting from 2011_11 is 3.89
::  Return for Rs 100000 / 12 months starting from 2015_05 is 3.93
::  Return for Rs 100000 / 12 months starting from 2014_11 is 4.01
::  Return for Rs 100000 / 12 months starting from 2001_12 is 4.22
::  Return for Rs 100000 / 12 months starting from 2015_11 is 4.53
::  Return for Rs 100000 / 12 months starting from 2004_06 is 4.55
::  Return for Rs 100000 / 12 months starting from 2011_12 is 4.63
::  Return for Rs 100000 / 12 months starting from 2009_07 is 4.67
::  Return for Rs 100000 / 12 months starting from 2012_06 is 4.96
::  Return for Rs 100000 / 12 months starting from 2015_08 is 5.41
::  Return for Rs 100000 / 12 months starting from 2013_01 is 5.43
::  Return for Rs 100000 / 12 months starting from 2018_07 is 5.57
::  Return for Rs 100000 / 12 months starting from 2017_11 is 5.88
::  Return for Rs 100000 / 12 months starting from 2002_01 is 5.94
::  Return for Rs 100000 / 12 months starting from 2016_01 is 6.02
::  Return for Rs 100000 / 12 months starting from 2003_11 is 6.29
::  Return for Rs 100000 / 12 months starting from 2015_03 is 6.53
::  Return for Rs 100000 / 12 months starting from 2012_03 is 6.55
::  Return for Rs 100000 / 12 months starting from 2014_07 is 6.83
::  Return for Rs 100000 / 12 months starting from 2004_05 is 7.01
::  Return for Rs 100000 / 12 months starting from 2009_11 is 7.01
::  Return for Rs 100000 / 12 months starting from 2013_11 is 7.45
::  Return for Rs 100000 / 12 months starting from 2014_08 is 7.45
::  Return for Rs 100000 / 12 months starting from 2018_10 is 7.45
::  Return for Rs 100000 / 12 months starting from 2014_12 is 7.51
::  Return for Rs 100000 / 12 months starting from 2012_08 is 7.61
::  Return for Rs 100000 / 12 months starting from 2019_02 is 7.64
::  Return for Rs 100000 / 12 months starting from 2004_04 is 7.76
::  Return for Rs 100000 / 12 months starting from 2009_04 is 7.81
::  Return for Rs 100000 / 12 months starting from 2002_03 is 7.84
::  Return for Rs 100000 / 12 months starting from 2017_06 is 7.94
::  Return for Rs 100000 / 12 months starting from 2013_12 is 8.17
::  Return for Rs 100000 / 12 months starting from 2012_07 is 8.42
::  Return for Rs 100000 / 12 months starting from 2007_06 is 8.52
::  Return for Rs 100000 / 12 months starting from 2004_03 is 8.87
::  Return for Rs 100000 / 12 months starting from 2002_06 is 9.25
::  Return for Rs 100000 / 12 months starting from 2008_05 is 9.26
::  Return for Rs 100000 / 12 months starting from 2018_01 is 9.51
::  Return for Rs 100000 / 12 months starting from 2011_10 is 9.55
::  Return for Rs 100000 / 12 months starting from 2012_11 is 9.57
::  Return for Rs 100000 / 12 months starting from 2013_09 is 9.92
::  Return for Rs 100000 / 12 months starting from 2019_05 is 9.95
::  Return for Rs 100000 / 12 months starting from 2012_01 is 10.08
::  Return for Rs 100000 / 12 months starting from 2015_10 is 10.34
::  Return for Rs 100000 / 12 months starting from 2017_04 is 10.4
::  Return for Rs 100000 / 12 months starting from 2015_09 is 10.41
::  Return for Rs 100000 / 12 months starting from 2013_04 is 10.65
::  Return for Rs 100000 / 12 months starting from 2000_06 is 10.69
::  Return for Rs 100000 / 12 months starting from 2017_07 is 10.72
::  Return for Rs 100000 / 12 months starting from 2013_05 is 11.38
::  Return for Rs 100000 / 12 months starting from 2015_01 is 11.48
::  Return for Rs 100000 / 12 months starting from 2015_04 is 11.98
::  Return for Rs 100000 / 12 months starting from 2015_02 is 12.49
::  Return for Rs 100000 / 12 months starting from 2013_08 is 12.79
::  Return for Rs 100000 / 12 months starting from 2007_04 is 13.06
::  Return for Rs 100000 / 12 months starting from 2009_02 is 13.32
::  Return for Rs 100000 / 12 months starting from 2013_07 is 14.04
::  Return for Rs 100000 / 12 months starting from 2018_06 is 14.2
::  Return for Rs 100000 / 12 months starting from 2012_02 is 14.62
::  Return for Rs 100000 / 12 months starting from 2018_03 is 15.33
::  Return for Rs 100000 / 12 months starting from 2009_01 is 16.18
::  Return for Rs 100000 / 12 months starting from 2017_12 is 16.75
::  Return for Rs 100000 / 12 months starting from 2018_02 is 16.75
::  Return for Rs 100000 / 12 months starting from 2019_01 is 17.32
::  Return for Rs 100000 / 12 months starting from 2002_07 is 18.49
::  Return for Rs 100000 / 12 months starting from 2018_11 is 19.21
::  Return for Rs 100000 / 12 months starting from 2017_05 is 19.52
::  Return for Rs 100000 / 12 months starting from 2008_08 is 20.19
::  Return for Rs 100000 / 12 months starting from 2016_03 is 21.2
::  Return for Rs 100000 / 12 months starting from 2006_04 is 22.27
::  Return for Rs 100000 / 12 months starting from 2017_03 is 22.46
::  Return for Rs 100000 / 12 months starting from 2007_05 is 22.49
::  Return for Rs 100000 / 12 months starting from 2018_05 is 22.49
::  Return for Rs 100000 / 12 months starting from 2018_12 is 23.27
::  Return for Rs 100000 / 12 months starting from 2016_07 is 23.33
::  Return for Rs 100000 / 12 months starting from 2008_11 is 24.41
::  Return for Rs 100000 / 12 months starting from 2016_06 is 24.46
::  Return for Rs 100000 / 12 months starting from 2004_07 is 24.67
::  Return for Rs 100000 / 12 months starting from 2018_04 is 24.71
::  Return for Rs 100000 / 12 months starting from 2013_06 is 24.76
::  Return for Rs 100000 / 12 months starting from 2008_09 is 26.64
::  Return for Rs 100000 / 12 months starting from 2016_10 is 27.53
::  Return for Rs 100000 / 12 months starting from 2016_04 is 27.55
::  Return for Rs 100000 / 12 months starting from 2002_08 is 28.02
::  Return for Rs 100000 / 12 months starting from 2008_07 is 28.11
::  Return for Rs 100000 / 12 months starting from 2008_12 is 28.9
::  Return for Rs 100000 / 12 months starting from 2004_11 is 28.99
::  Return for Rs 100000 / 12 months starting from 2004_09 is 30.12
::  Return for Rs 100000 / 12 months starting from 2007_03 is 30.17
::  Return for Rs 100000 / 12 months starting from 2017_02 is 30.44
::  Return for Rs 100000 / 12 months starting from 2006_03 is 30.47
::  Return for Rs 100000 / 12 months starting from 2017_08 is 31.08
::  Return for Rs 100000 / 12 months starting from 2017_10 is 31.09
::  Return for Rs 100000 / 12 months starting from 2004_08 is 31.59
::  Return for Rs 100000 / 12 months starting from 2017_01 is 31.92
::  Return for Rs 100000 / 12 months starting from 2016_09 is 32.56
::  Return for Rs 100000 / 12 months starting from 2016_05 is 32.7
::  Return for Rs 100000 / 12 months starting from 2006_05 is 33.71
::  Return for Rs 100000 / 12 months starting from 2006_07 is 33.85
::  Return for Rs 100000 / 12 months starting from 2017_09 is 35.59
::  Return for Rs 100000 / 12 months starting from 2003_04 is 36.15
::  Return for Rs 100000 / 12 months starting from 2008_10 is 36.3
::  Return for Rs 100000 / 12 months starting from 2007_02 is 38.2
::  Return for Rs 100000 / 12 months starting from 2002_09 is 39.03
::  Return for Rs 100000 / 12 months starting from 2006_02 is 39.06
::  Return for Rs 100000 / 12 months starting from 2016_08 is 39.25
::  Return for Rs 100000 / 12 months starting from 2006_01 is 39.54
::  Return for Rs 100000 / 12 months starting from 2008_06 is 39.8
::  Return for Rs 100000 / 12 months starting from 2004_12 is 40.07
::  Return for Rs 100000 / 12 months starting from 2016_12 is 40.26
::  Return for Rs 100000 / 12 months starting from 2006_09 is 40.7
::  Return for Rs 100000 / 12 months starting from 2004_10 is 40.78
::  Return for Rs 100000 / 12 months starting from 2005_01 is 42.42
::  Return for Rs 100000 / 12 months starting from 2006_08 is 43.36
::  Return for Rs 100000 / 12 months starting from 2006_06 is 45.6
::  Return for Rs 100000 / 12 months starting from 2003_03 is 47.59
::  Return for Rs 100000 / 12 months starting from 2016_11 is 47.6
::  Return for Rs 100000 / 12 months starting from 2002_10 is 48.09
::  Return for Rs 100000 / 12 months starting from 2005_12 is 48.39
::  Return for Rs 100000 / 12 months starting from 2003_05 is 48.53
::  Return for Rs 100000 / 12 months starting from 2002_12 is 49.12
::  Return for Rs 100000 / 12 months starting from 2002_11 is 55.53
::  Return for Rs 100000 / 12 months starting from 2005_08 is 58.71
::  Return for Rs 100000 / 12 months starting from 2005_11 is 58.86
::  Return for Rs 100000 / 12 months starting from 2006_10 is 60.38
::  Return for Rs 100000 / 12 months starting from 2003_02 is 62.18
::  Return for Rs 100000 / 12 months starting from 2005_10 is 63.9
::  Return for Rs 100000 / 12 months starting from 2005_03 is 64.83
::  Return for Rs 100000 / 12 months starting from 2007_01 is 68.14
::  Return for Rs 100000 / 12 months starting from 2005_09 is 68.84
::  Return for Rs 100000 / 12 months starting from 2003_01 is 70.87
::  Return for Rs 100000 / 12 months starting from 2005_02 is 75.17
::  Return for Rs 100000 / 12 months starting from 2006_12 is 76.19
::  Return for Rs 100000 / 12 months starting from 2005_04 is 76.4
::  Return for Rs 100000 / 12 months starting from 2005_06 is 80.89
::  Return for Rs 100000 / 12 months starting from 2006_11 is 82.47
::  Return for Rs 100000 / 12 months starting from 2005_07 is 83.0
::  Return for Rs 100000 / 12 months starting from 2005_05 is 107.03
