stopping sim at  229 + 12 / 241
::  Return for Rs 100000 / 12 months starting from 2007_12 is -49.21
::  Return for Rs 100000 / 12 months starting from 2007_11 is -43.33
::  Return for Rs 100000 / 12 months starting from 2008_01 is -39.69
::  Return for Rs 100000 / 12 months starting from 2008_02 is -31.89
::  Return for Rs 100000 / 12 months starting from 2008_03 is -30.06
::  Return for Rs 100000 / 12 months starting from 2000_11 is -25.9
::  Return for Rs 100000 / 12 months starting from 2000_10 is -25.51
::  Return for Rs 100000 / 12 months starting from 2011_01 is -20.95
::  Return for Rs 100000 / 12 months starting from 2007_10 is -20.68
::  Return for Rs 100000 / 12 months starting from 2010_09 is -18.68
::  Return for Rs 100000 / 12 months starting from 2019_04 is -17.8
::  Return for Rs 100000 / 12 months starting from 2001_08 is -15.71
::  Return for Rs 100000 / 12 months starting from 2010_12 is -15.57
::  Return for Rs 100000 / 12 months starting from 2010_08 is -14.99
::  Return for Rs 100000 / 12 months starting from 2000_12 is -14.86
::  Return for Rs 100000 / 12 months starting from 2010_10 is -14.8
::  Return for Rs 100000 / 12 months starting from 2001_06 is -14.5
::  Return for Rs 100000 / 12 months starting from 2014_04 is -13.93
::  Return for Rs 100000 / 12 months starting from 2007_09 is -13.39
::  Return for Rs 100000 / 12 months starting from 2011_04 is -12.33
::  Return for Rs 100000 / 12 months starting from 2000_08 is -11.62
::  Return for Rs 100000 / 12 months starting from 2000_09 is -11.62
::  Return for Rs 100000 / 12 months starting from 2001_05 is -11.52
::  Return for Rs 100000 / 12 months starting from 2008_04 is -11.21
::  Return for Rs 100000 / 12 months starting from 2010_07 is -10.87
::  Return for Rs 100000 / 12 months starting from 2001_09 is -10.81
::  Return for Rs 100000 / 12 months starting from 2011_06 is -10.8
::  Return for Rs 100000 / 12 months starting from 2010_02 is -10.5
::  Return for Rs 100000 / 12 months starting from 2011_05 is -10.47
::  Return for Rs 100000 / 12 months starting from 2014_03 is -10.33
::  Return for Rs 100000 / 12 months starting from 2001_07 is -9.99
::  Return for Rs 100000 / 12 months starting from 2014_05 is -9.55
::  Return for Rs 100000 / 12 months starting from 2009_09 is -9.46
::  Return for Rs 100000 / 12 months starting from 2001_01 is -8.92
::  Return for Rs 100000 / 12 months starting from 2007_08 is -8.6
::  Return for Rs 100000 / 12 months starting from 2001_10 is -8.35
